algorithm,inputType,size,timeMs,maxDepth,comparisons
MergeSort,random,1000,0,073,6,9621
QuickSort,random,1000,0,052,5,11386
Select,random,1000,0,045,8,3149
MergeSort,sorted,1000,0,025,6,3020
QuickSort,sorted,1000,0,030,5,11858
Select,sorted,1000,0,025,9,2813
MergeSort,reverse,1000,0,036,6,10300
QuickSort,reverse,1000,0,028,5,11026
Select,reverse,1000,0,031,9,3029
MergeSort,duplicates,1000,0,057,6,8918
QuickSort,duplicates,1000,0,011,1,3104
Select,duplicates,1000,0,018,4,1250
MergeSort,random,5000,0,372,9,54898
QuickSort,random,5000,0,248,7,74400
Select,random,5000,0,183,11,14528
MergeSort,sorted,5000,0,381,9,22636
QuickSort,sorted,5000,0,154,6,70866
Select,sorted,5000,0,120,11,14868
MergeSort,reverse,5000,0,249,9,44324
QuickSort,reverse,5000,0,181,7,78025
Select,reverse,5000,0,152,11,15987
MergeSort,duplicates,5000,0,335,9,52367
QuickSort,duplicates,5000,0,052,1,20078
Select,duplicates,5000,0,143,7,12317
MergeSort,random,20000,1,757,11,259954
QuickSort,random,20000,1,236,8,343198
Select,random,20000,0,779,13,64898
MergeSort,sorted,20000,0,168,11,110544
QuickSort,sorted,20000,0,675,8,363450
Select,sorted,20000,1,268,12,59899
MergeSort,reverse,20000,0,359,11,197296
QuickSort,reverse,20000,0,619,8,345590
Select,reverse,20000,0,648,13,65368
MergeSort,duplicates,20000,2,376,11,247456
QuickSort,duplicates,20000,0,195,1,73990
Select,duplicates,20000,0,259,6,25618
MergeSort,random,50000,6,874,12,732822
QuickSort,random,50000,2,966,8,968371
Select,random,50000,1,068,14,166786
MergeSort,sorted,50000,3,038,12,301104
QuickSort,sorted,50000,1,738,9,973971
Select,sorted,50000,0,403,14,150160
MergeSort,reverse,50000,7,446,12,579408
QuickSort,reverse,50000,1,756,9,965616
Select,reverse,50000,0,541,15,162712
MergeSort,duplicates,50000,3,383,12,694259
QuickSort,duplicates,50000,0,467,1,164740
Select,duplicates,50000,0,438,6,62500
MergeSort,random,100000,5,681,13,1565387
QuickSort,random,100000,6,567,10,2188716
Select,random,100000,2,121,15,328134
MergeSort,sorted,100000,1,546,13,652208
QuickSort,sorted,100000,3,701,10,2077814
Select,sorted,100000,0,751,15,290460
MergeSort,reverse,100000,2,094,13,1208816
QuickSort,reverse,100000,3,546,10,2013484
Select,reverse,100000,1,007,16,329080
MergeSort,duplicates,100000,3,255,13,1482233
QuickSort,duplicates,100000,0,868,1,320177
Select,duplicates,100000,0,871,7,125001
ClosestPair,random,500,0,630,8,0
ClosestPair,random,1000,1,096,9,0
ClosestPair,random,2000,2,165,10,0
ClosestPair,random,5000,5,925,11,0
ClosestPair,random,20000,16,636,13,0
